" "," "
&,+
@,(at)
',&apos;
"""",&quot;
;,","
(,(
),)
+,+
-,-
/,/
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
:,:
",",","
<,&lt;
>,&gt;
?,?
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
[,(
\,/
],)
_,-
`,'
a,a
b,b
c,c
d,d
e,e
f,f
g,g
h,h
i,i
j,j
k,k
l,l
m,m
n,n
o,o
p,p
q,q
r,r
s,s
t,t
u,u
v,v
w,w
x,x
y,y
z,z
{,(
|,/
},)
~,-
¿,?
À,A
Á,A
Â,A
Ã,A
Ä,A
Å,A
Æ,A
Ç,C
È,E
É,E
Ê,E
Ë,E
Ì,I
Í,I
Î,I
Ï,I
Ð,D
Ñ,N
Ò,O
Ó,O
Ô,O
Õ,O
Ö,O
Ø,O
Ù,U
Ú,U
Û,U
Ü,U
Ý,Y
Þ,T
ß,s
à,a
á,a
â,a
ã,a
ä,a
å,a
æ,a
ç,c
è,e
é,e
ê,e
ë,e
ì,i
í,i
î,i
ï,i
ð,d
ñ,n
ò,o
ó,o
ô,o
õ,o
ö,o
ø,o
ù,u
ú,u
û,u
ü,u
ý,y
þ,t
ÿ,y
Ā,A
ā,a
Ă,A
ă,a
Ą,A
ą,a
Ć,C
ć,c
Ĉ,C
ĉ,c
Ċ,C
ċ,c
Č,C
č,c
Ď,D
ď,d
Đ,D
đ,d
Ē,E
ē,e
Ĕ,E
ĕ,e
Ė,E
ė,e
Ę,E
ę,e
Ě,E
ě,e
Ĝ,G
ĝ,g
Ğ,G
ğ,g
Ġ,G
ġ,g
Ģ,G
ģ,g
Ĥ,H
ĥ,h
Ħ,H
ħ,h
Ĩ,I
ĩ,i
Ī,I
ī,i
Ĭ,I
ĭ,i
Į,I
į,i
İ,I
ı,i
Ĳ,I
ĳ,i
Ĵ,J
ĵ,j
Ķ,K
ķ,k
Ĺ,L
ĺ,l
Ļ,L
ļ,l
Ľ,L
ľ,l
Ŀ,L
ŀ,l
Ł,L
ł,l
Ń,N
ń,n
Ņ,N
ņ,n
Ň,N
ň,n
Ő,O
ő,o
Œ,O
œ,o
Ŕ,R
ŕ,r
Ŗ,R
ŗ,r
Ř,R
ř,r
Ś,S
ś,s
Ŝ,S
ŝ,s
Ş,S
ş,s
Š,S
š,s
Ţ,T
ţ,t
Ť,T
ť,t
Ŧ,T
ŧ,t
Ũ,U
ũ,u
Ū,U
ū,u
Ŭ,U
ŭ,u
Ů,U
ů,u
Ű,U
ű,u
Ų,U
ų,u
Ŵ,W
ŵ,w
Ŷ,Y
ŷ,y
Ÿ,Y
Ź,Z
ź,z
Ż,Z
ż,z
Ž,Z
ž,z
Ș,S
ș,s
Ț,T
ț,t
Ά,A
Έ,E
Ή,I
Ί,I
Ό,O
Ύ,Y
Ώ,O
Ϊ,i
Α,A
Β,V
Γ,G
Δ,D
Ε,E
Ζ,Z
Η,I
Θ,TH
Ι,I
Κ,K
Λ,L
Μ,M
Ν,N
Ξ,X
Ο,O
Π,P
Ρ,R
Σ,S
Τ,T
Υ,Y
Φ,F
Χ,CH
Ψ,PS
Ω,O
Ϊ,I
Ϋ,Y
ά,a
έ,e
ή,i
ί,i
ΰ,y
α,a
β,v
γ,g
δ,d
ε,e
ζ,z
η,i
θ,th
ι,i
κ,k
λ,l
μ,m
ν,n
ξ,x
ο,o
π,p
ρ,r
ς,s
σ,s
τ,t
υ,y
φ,f
χ,ch
ψ,ps
ω,o
ϊ,i
ϋ,y
ό,o
ύ,y
ώ,o
А,A
Б,B
В,V
Г,G
Д,D
Е,E
Ж,ZH
З,Z
И,I
Й,Y
К,K
Л,L
М,M
Н,N
О,O
П,P
Р,R
С,S
Т,T
У,U
Ф,F
Х,H
Ц,TS
Ч,CH
Ш,SH
Щ,SHT
Ъ,A
Ь,Y
Ю,YU
Я,YA
а,a
б,b
в,v
г,g
д,d
е,e
ж,zh
з,z
и,i
й,y
к,k
л,l
м,m
н,n
о,o
п,p
р,r
с,s
т,t
у,u
ф,f
х,h
ц,ts
ч,ch
ш,sh
щ,sht
ъ,a
ь,y
ю,yu
я,ya
€,E
